	ID	Text	Text_korr	Span	StartChar	EndChar	Code-annotator1	Code-annotator2	Code-annotator3	Code-annotator4	status	context_before	match	context_after	max_agreement_freq	max_agreement_label
BA-Kindergarten_15-05-11_15-23-51_SB20+4510	133.0	BA-Kindergarten_15-05-11_15-23-51_SB20	15-05-11_BA-Kindergarten_15-23-51_SB20.txt	ich	4510	4513	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_25	 Elternarbeit näher erläutern, den geschichtlichen Wandel aufzeigen und verschiedene Konzepte und Ansätze kurz vorstellen.  Im dritten Kapitel möchte 	ich	 den aktuellen nationalen und internationalen Forschungsstand darstellen. Dabei möchte ich einerseits auf die Bedeutung der Familie und deren Einfluss	4	Verfasser-Ich
BA-Kindergarten_15-05-11_15-23-51_SB20+4632	134.0	BA-Kindergarten_15-05-11_15-23-51_SB20	15-05-11_BA-Kindergarten_15-23-51_SB20.txt	ich	4632	4635	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_15	pte und Ansätze kurz vorstellen.  Im dritten Kapitel möchte ich den aktuellen nationalen und internationalen Forschungsstand darstellen. Dabei möchte 	ich	 einerseits auf die Bedeutung der Familie und deren Einflusspotential eingehen und andererseits auf die Auswirkungen und den Nutzen, welche unmittelba	4	Verfasser-Ich
BA-Kindergarten_15-05-11_15-23-51_SB20+4938	137.0	BA-Kindergarten_15-05-11_15-23-51_SB20	15-05-11_BA-Kindergarten_15-23-51_SB20.txt	ich	4938	4941	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_20	 abgeleitet werden konnten. Hierauf aufbauend werde ich noch einmal die genaue Problemstellung und mein Vorhaben erläutern.  Im vierten Kapitel komme 	ich	 zur Methodologie. Hier werde ich auf die konkreten Daten und deren Auswertung eingehen, das heißt ich erläutere wo die Daten herkommen, wie und in we	4	Verfasser-Ich
BA-Kindergarten_15-05-11_15-23-51_SB20+5165	138.0	BA-Kindergarten_15-05-11_15-23-51_SB20	15-05-11_BA-Kindergarten_15-23-51_SB20.txt	ich	5165	5168	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_20	wertung eingehen, das heißt ich erläutere wo die Daten herkommen, wie und in welchem Zusammenhang sie entstanden sind sowie welche Auswertungsmethode 	ich	 zur Analyse verwendet habe. Im fünften Kapitel wende ich mich nun der konkreten Darstellung und Auswertung der Ergebnisse zu. Ich werde mich kritisch	4	Verfasser-Ich
BA-Klassenfuehrungskompetenz_14-05-19_08-03-18_SB01+2802	147.0	BA-Klassenfuehrungskompetenz_14-05-19_08-03-18_SB01	14-05-19_BA-Klassenfuehrungskompetenz_08-03-18_SB01.txt	ich	2802	2805	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich	rough_match_10	hrungskompetenz ein Bestandteil von der Lehrerprofessionalität ist. Deshalb ist es wichtig sich damit zu befassen.   Innerhalb meines Praktikums habe 	ich	 festgestellt, wie unterschiedlich sich eine Klasse gegenüber der jeweiligen Art der Klassenführung verhalten kann. Mir ist aufgefallen, dass sich das	3	Erzähler-Ich
BA-Klassenfuehrungskompetenz_14-05-19_08-03-18_SB01+3049	148.0	BA-Klassenfuehrungskompetenz_14-05-19_08-03-18_SB01	14-05-19_BA-Klassenfuehrungskompetenz_08-03-18_SB01.txt	Ich	3049	3052	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich	rough_match_15	g verhalten kann. Mir ist aufgefallen, dass sich das Verhalten der SuS in Bezug auf den Unterricht von der Führungskompetenz der Lehrer abhängig ist. 	Ich	 habe unterschiedliche Lehrstile beobachten können und sehen können wie verschieden die SuS auftreten sobald ein anderer Lehrperson in der Klasse agie	3	Erzähler-Ich
BA-Kunst_15-12-17_10-07-01_SB01+1139	157.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	1139	1142	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich	rough_match_5	en aus den Bereichen der kognitiven Psychologie, menschlichen Anatomie und Philosophie anzueignen. Viele meiner Ideen für meine Kunstprojekte schöpfe 	ich	 auch aus diesen genannten Bereichen. Mich interessieren die Ausdrucksmedien Bildhauerei, Fotografie, Film und (Körper-)Performance und ich bediene mi	3	Erzähler-Ich
BA-Kunst_15-12-17_10-07-01_SB01+1278	158.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	1278	1281	Erzähler-Ich	Erzähler-Ich	Verfasser-Ich	Erzähler-Ich	rough_match_5	te schöpfe ich auch aus diesen genannten Bereichen. Mich interessieren die Ausdrucksmedien Bildhauerei, Fotografie, Film und (Körper-)Performance und 	ich	 bediene mich in meiner Kunst auch bewusst an all diesen Ausdrucksformen und verwende sie als Darstellungsmittel. Denn der Medienwechsel ermöglicht mi	3	Erzähler-Ich
BA-Kunst_15-12-17_10-07-01_SB01+1755	159.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	Ich	1755	1758	Erzähler-Ich	Erzähler-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	ders zu denken.  Mich interessiert die detaillierte Untersuchung der einzelnen Körperteile und ihre losgelöste bzw. isolierte Betrachtung vom Ganzen. 	Ich	 analysiere und hinterfrage die einzelnen Körperteile sowohl in ihrer Funktionsweise, als auch in ihrer Beschaffenheit und Form und begreife den mensc	2	Erzähler-Ich
BA-Kunst_15-12-17_10-07-01_SB01+1948	160.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	1948	1951	Erzähler-Ich	Erzähler-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	n Körperteile sowohl in ihrer Funktionsweise, als auch in ihrer Beschaffenheit und Form und begreife den menschliche Körper als mein Material mit dem 	ich	 mich künstlerisch auseinandersetzte.  Von der anfänglichen Betrachtung der Phänomene Haar und Körperbehaarung (s. Abb.) über Bauchnabel (s. Abb.)  un	2	Erzähler-Ich
BA-Kunst_15-12-17_10-07-01_SB01+2130	161.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	2130	2133	Erzähler-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	rsetzte.  Von der anfänglichen Betrachtung der Phänomene Haar und Körperbehaarung (s. Abb.) über Bauchnabel (s. Abb.)  und weiteren Körperteilen, bin 	ich	 aktuell zu der Untersuchung - Erforschung des Gelenks gelangt (s. Abb.).  Um darzustellen, wie ich durch die Betrachtung der einzelnen Körperteile Sc	3	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+2229	162.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	None	2229	2232	None	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	uchnabel (s. Abb.)  und weiteren Körperteilen, bin ich aktuell zu der Untersuchung - Erforschung des Gelenks gelangt (s. Abb.).  Um darzustellen, wie 	ich	 durch die Betrachtung der einzelnen Körperteile Schlüsse für meine Kunstwerke ziehe, werde ich als nächstes meine Faszination für das Gelenk und mein	3	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+2324	163.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	2324	2327	Verfasser-Ich	None	Verfasser-Ich	Verfasser-Ich	rough_match_5	g des Gelenks gelangt (s. Abb.).  Um darzustellen, wie ich durch die Betrachtung der einzelnen Körperteile Schlüsse für meine Kunstwerke ziehe, werde 	ich	 als nächstes meine Faszination für das Gelenk und meine von ihr abgeleitete Definition beschreiben. Anschließend werde ich auf meine drei jüngsten Ar	3	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+2447	164.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	2447	2450	Verfasser-Ich	None	Verfasser-Ich	Verfasser-Ich	rough_match_5	ne Kunstwerke ziehe, werde ich als nächstes meine Faszination für das Gelenk und meine von ihr abgeleitete Definition beschreiben. Anschließend werde 	ich	 auf meine drei jüngsten Arbeiten detailliert eingehen.   Faszination für das Gelenk Rein anatomisch betrachtet versteht man unter Gelenk eine bewegli	3	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+443	153.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	443	446	Erzähler-Ich	Erzähler-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	he Auseinandersetzung bedeutet. Im Anschluss daran soll auf meine drei jüngsten Projekte detailliert eingegangen werden.   Im Allgemeinen beschäftige 	ich	 mich in meinen künstlerischen Arbeiten mit dem menschlichen Körper und seinen unterschiedlichen Körperteilen. Durch mein zweites Unterrichtsfach Deut	2	Erzähler-Ich
BA-Kunst_15-12-17_10-07-01_SB01+4475	165.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	4475	4478	Verfasser-Ich	None	Verfasser-Ich	Erzähler-Ich	rough_match_5	erke einzugehen, deshalb wird das Augenmerk auf meine Bachelor Ausstellung und die drei dort präsentierten Werke gerichtet. Zudem gibt es Fragen, die 	ich	 mir immer wieder in meiner Kunstproduktion und auch in der Entwicklung der letzten drei Werke, stelle und gestellt habe, welche ich in dieser Arbeit 	2	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+4607	166.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	4607	4610	Verfasser-Ich	None	Verfasser-Ich	Forscher-Ich	rough_match_5	bt es Fragen, die ich mir immer wieder in meiner Kunstproduktion und auch in der Entwicklung der letzten drei Werke, stelle und gestellt habe, welche 	ich	 in dieser Arbeit nicht alle ausführen, erläutern oder beantworten kann. Jedoch sollen trotzdem einige dieser Fragen stichwortartig vor der Beschreibu	2	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+5739	167.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	5739	5742	Verfasser-Ich	None	Verfasser-Ich	Verfasser-Ich	rough_match_10	n  Im ersten Teil der Arbeit wird eine theoretische Grundlage gegeben (Menschliche Wahrnehmung und Begriffe: Abjekt, das Unförmige), mit dessen Hilfe 	ich	 im zweiten Teil/ Hauptteil meine künstlerische Praxis erläutern werde.  1. Theoretische Grundlagen - Menschliche Wahrnehmung. Wie sehen wir eigentlic	3	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+648	154.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	648	651	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Verfasser-Ich	rough_match_5	hlichen Körper und seinen unterschiedlichen Körperteilen. Durch mein zweites Unterrichtsfach Deutsch, insbesondere im Fachbereich Linguistik, erhalte 	ich	 viele Anregungen für meine künstlerische Praxis. Deshalb werde ich in der Erklärung meiner Arbeiten (im PunktXX) immer wieder auf linguistische Theor	2	Erzähler-Ich
BA-Kunst_15-12-17_10-07-01_SB01+715	155.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	715	718	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	n zweites Unterrichtsfach Deutsch, insbesondere im Fachbereich Linguistik, erhalte ich viele Anregungen für meine künstlerische Praxis. Deshalb werde 	ich	 in der Erklärung meiner Arbeiten (im PunktXX) immer wieder auf linguistische Theorien (wie zb) zurückgreifen und diese als Stütze nutzen, um meine Ge	4	Verfasser-Ich
BA-Kunst_15-12-17_10-07-01_SB01+952	156.0	BA-Kunst_15-12-17_10-07-01_SB01	15-12-17_BA-Kunst_10-07-01_SB01.txt	ich	952	955	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	rough_match_5	n (wie zb) zurückgreifen und diese als Stütze nutzen, um meine Gedankengänge und mein Interesse darlegen zu können. Unabhängig von meinem Studium bin 	ich	 auch daran interessiert, mir Wissen aus den Bereichen der kognitiven Psychologie, menschlichen Anatomie und Philosophie anzueignen. Viele meiner Idee	4	Erzähler-Ich
BA_13-06-09_26-06-32_SB03+3150	24.0	BA_13-06-09_26-06-32_SB03	13-06-09_BA_26-06-32_SB03.txt	ich	3150	3153	Verfasser-Ich	Verfasser-Ich	Forscher-Ich	Verfasser-Ich	fullmatch	e des Deutschen haben sie keine Chance auf eine berufliche Karriere und somit eine gesamtgesellschaftliche Teilhabe.  In dieser Bachelorarbeit möchte 	ich	 mich mit diesen Themen beschäftigen, genauer gesagt, Welche Möglichkeiten und Grenzen der Förderung von Migrantenkindern im Anfangsunterricht Deutsch	3	Verfasser-Ich
BA_14-08-11_05-18-57+454	26.0	BA_14-08-11_05-18-57	14-08-11_BA_05-18-57.txt	Ich	454	457	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich	rough_match_5	terkultureller und frühkindlicher Bildung gewonnenen Erfahrungen tragen dem Interesse  meiner Auseinandersetzung mit dem vorliegenden Thema Rechnung. 	Ich	 habe mit Kindern aus unterschiedlichen kulturellen und sprachlichen Milieus in einer Hamburger Vorschule gearbeitet und dort erfahren, wie schwer es 	3	Erzähler-Ich
BA_14-08-11_05-18-57+798	27.0	BA_14-08-11_05-18-57	14-08-11_BA_05-18-57.txt	ich	798	801	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Forscher-Ich	rough_match_5	 manchen Kindern ist, sich nicht nur auszudrücken und ihre Bedürfnisse zu äußern, sondern auch, sich an Bildungsprozessen zu beteiligen. Dadurch habe 	ich	 festgestellt, dass Sprache dem Bildungserfolg dient. Ich konnte durch meine anderen Sprachen den Kindern bei Gelegenheit helfen, einige Aufgabenstell	2	Erzähler-Ich
BA_14-08-11_05-18-57+855	29.0	BA_14-08-11_05-18-57	14-08-11_BA_05-18-57.txt	Ich	855	858	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich	rough_match_5	e Bedürfnisse zu äußern, sondern auch, sich an Bildungsprozessen zu beteiligen. Dadurch habe ich festgestellt, dass Sprache dem Bildungserfolg dient. 	Ich	 konnte durch meine anderen Sprachen den Kindern bei Gelegenheit helfen, einige Aufgabenstellungen zu verstehen und zu bewältigen. Meine Mehrsprachigk	3	Erzähler-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+19030	68.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	19030	19033	Verfasser-Ich	Forscher-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	ng und Achtung der Meinung und dem Willen des Kindes. (Vgl. Pfaff, 2010, 40).Die ersten drei Grundprinzipien werden nicht detailliert beschrieben, da 	ich	 mich für das vierte Prinzip entschieden habe. Im Nächsten Kapitel werde ich den Artikel 12 der UN- KRK erläutern. Die Bedeutung der Art. 12 UN-KRK wi	3	Verfasser-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+19106	69.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	19106	19109	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	.Die ersten drei Grundprinzipien werden nicht detailliert beschrieben, da ich mich für das vierte Prinzip entschieden habe. Im Nächsten Kapitel werde 	ich	 den Artikel 12 der UN- KRK erläutern. Die Bedeutung der Art. 12 UN-KRK wird abschließend skizziert.  Analyse des Artikels 12 der UN-Kinderrechtskonve	4	Verfasser-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+5417	59.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	5417	5420	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	endenziell ohne Mitbestimmungsrechte auf. Der Anteil dieser Kinder ist meiner Erfahrung, in Afrika bzw. Kamerun, nach zu urteilen, sehr hoch, weshalb 	ich	 den Ursachen und Folgen von mangelnder Partizipation in einigen Entwicklungsländern auf den Grund gehen möchte.   Im ersten Teil, dem theoretischen T	4	Verfasser-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+6047	60.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	6047	6050	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	ge Persönlichkeit[…]“ (Kittel, 2008, S.9) zu verdeutlichen. Um im weiteren Verlauf der Arbeit wieder an diesen Abschnitt anschließen zu können, werde 	ich	  abschließend eine zusammenfassende Problematik anbringen, in dem ich andeuten werde, dass die UN-Kinderrechtskonvention keine juristische Möglichkei	4	Verfasser-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+60644	71.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	60644	60647	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	fullmatch	 von Kindern zur Identifikation der kulturellen sozialen Wirklichkeit zu rekonstruieren, gehört. Eine Beobachtung wäre hier eine optimale Methode, da 	ich	 die Möglichkeit hätte, mir selbst ein Bild der Partizipation im alltäglichen Leben von Kindern machen zu können. Durch Beobachtung könnte ich die Erf	4	Erzähler-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+60786	72.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	60786	60789	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	fullmatch	ode, da ich die Möglichkeit hätte, mir selbst ein Bild der Partizipation im alltäglichen Leben von Kindern machen zu können. Durch Beobachtung könnte 	ich	 die Erfahrungen direkt am Ort visualisieren und bestimmte Informationen über die Verhaltensweise erhalten, die nur durch Beobachtungen zu liefern sin	4	Erzähler-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+6117	61.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	6117	6120	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	eren Verlauf der Arbeit wieder an diesen Abschnitt anschließen zu können, werde ich  abschließend eine zusammenfassende Problematik anbringen, in dem 	ich	 andeuten werde, dass die UN-Kinderrechtskonvention keine juristische Möglichkeit zur Durchsetzung der Rechte hat. Im theoretischen Teil wird anhand v	4	Verfasser-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+64673	73.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	Ich	64673	64676	Verfasser-Ich	Forscher-Ich	Forscher-Ich	Verfasser-Ich	fullmatch	 Prof. Dr. Rainer Kokemohr ist in Deutschland geboren und lebt derzeit hier. Er hat an der Universität Hamburg gearbeitet und ist jetzt im Ruhestand. 	Ich	 habe ihn ausgewählt, weil er sich mehrmals mit Feldforschungen in Kamerun beschäftigt hat und  an einer Schule mit integriertem Kindergarten in Kamer	2	Verfasser-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+64988	74.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	64988	64991	Verfasser-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich	fullmatch	cole pilote de Mbô“ im Jahre 1991 beobachtet und gefördert hat. Aufgrund seiner vielfältigen Erfahrungen mit  der kamerunischen Lebensgestaltung gehe 	ich	 davon aus, dass er über bestimmte Erklärungsmöglichkeiten über meine Fragestellung verfügt. Ich möchte gern von ihm erfahren, inwieweit Partizipation	2	Erzähler-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+6525	62.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	None	6525	6528	None	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	. Begrenzt sich Partizipation nur auf die Definition von z.B. Schröder oder findet man eine Erweiterung des Wortes Partizipation?  Im Folgenden werde 	ich	 die Ziele und Prinzipien der Partizipation darstellen, da Partizipationsmöglichkeiten der Kinder in Kitas „facettenreich“ sind und sich auf unterschi	3	Verfasser-Ich
Bachelorarbeit_13-08-05_28-17-44_SB01+66934	76.0	Bachelorarbeit_13-08-05_28-17-44_SB01	13-08-05_Bachelorarbeit_28-17-44_SB01.txt	ich	66934	66937	Verfasser-Ich	Forscher-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	r keiner festgelegten Reihenfolge durchgeführt werden muss ( ebd). Meuser und Nagel (2002) unterteilen ihre Auswertungsmethode in sechs Schritte, die 	ich	 im Laufe der Bearbeitung dieser verfolgt habe, nämlich die Transkription, die Paraphrase, die Überschriften, den thematischen Vergleich, die soziolog	3	Verfasser-Ich
