	ID	Text	Text_korr	Span	StartChar	EndChar	Code-annotator1	Code-annotator2	Code-annotator3	Code-annotator4
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+56959	26.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	56959	56962	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+57032	27.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	57032	57035	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+58789	28.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	58789	58792	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+59925	29.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	59925	59928	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60006	30.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	60006	60009	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60176	31.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	60176	60179	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60862	32.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	60862	60865	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60935	33.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	60935	60938	"SB thematisiert ""Ich"""	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60974	34.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	60974	60977	"SB thematisiert ""Ich"""	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+61044	35.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	61044	61047	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+61578	36.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	61578	61581	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+61658	37.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	61658	61661	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+62424	38.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	62424	62427	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+62512	39.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	62512	62515	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63009	40.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63009	63012	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63080	41.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63080	63083	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63356	42.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63356	63359	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63549	43.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	63549	63552	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63572	44.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63572	63575	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63662	45.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	63662	63665	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63844	46.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63844	63847	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63870	47.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	63870	63873	SB-Ich	None	None	None
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63894	48.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63894	63897	SB-Ich	None	None	None
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1149	19.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1149	1152	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1178	20.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	Ich	1178	1181	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1296	21.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1296	1299	Erzähler-Ich	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich*	Erzähler-Ich
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1319	22.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1319	1322	Erzähler-Ich	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich*	Erzähler-Ich
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1339	23.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1339	1342	Erzähler-Ich	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich*	None
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+504	17.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	504	507	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	"""Ich"" stellvertr. für Allgemeinheit"
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+540	18.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	540	543	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	"""Ich"" stellvertr. für Allgemeinheit"
BA-2011-Edition_15-03-09_24-24-59_SB02+10719	30.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	10719	10722	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	Forscher-Ich	Erzähler-Ich*
BA-2011-Edition_15-03-09_24-24-59_SB02+12064	31.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	12064	12067	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich*	None
BA-2011-Edition_15-03-09_24-24-59_SB02+148168	41.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	None	148168	148171	None	None	Verfasser-Ich	Eid
BA-2011-Edition_15-03-09_24-24-59_SB02+148169	46.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	148169	148172	Eid	Eid	None	None
BA-2011-Edition_15-03-09_24-24-59_SB02+148193	43.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	None	148193	148196	None	None	"""Ich"" stellvertr. für Allgemeinheit"	Eid
BA-2011-Edition_15-03-09_24-24-59_SB02+148194	47.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	148194	148197	Eid	Eid	None	None
BA-2011-Edition_15-03-09_24-24-59_SB02+22320	32.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	22320	22323	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich	Erzähler-Ich*
BA-2011-Edition_15-03-09_24-24-59_SB02+22347	33.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	22347	22350	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich	Erzähler-Ich*
BA-2011-Edition_15-03-09_24-24-59_SB02+29444	34.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	29444	29447	Verfasser-Ich	Verfasser-Ich	Erzähler-Ich*	Verfasser-Ich
BA-2011-Edition_15-03-09_24-24-59_SB02+33381	35.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	33381	33384	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	Forscher-Ich*	"""Ich"" stellvertr. für Allgemeinheit"
BA-2011-Edition_15-03-09_24-24-59_SB02+33463	39.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	33463	33466	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	None	None
BA-2011-Edition_15-03-09_24-24-59_SB02+33577	36.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	33577	33580	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	Forscher-Ich*	"""Ich"" stellvertr. für Allgemeinheit"
BA-2011-Edition_15-03-09_24-24-59_SB02+33903	37.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	33903	33906	"""Ich"" stellvertr. für Allgemeinheit"	Forscher-Ich	Forscher-Ich*	Verfasser-Ich*
BA-2011-Edition_15-03-09_24-24-59_SB02+36392	38.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	36392	36395	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	Forscher-Ich*	Erzähler-Ich*
BA-2011-Edition_15-03-09_24-24-59_SB02+36473	31.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	36473	36476	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	None	Erzähler-Ich*
BA-2011-Edition_15-03-09_24-24-59_SB02+37055	39.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	37055	37058	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	Forscher-Ich*	"""Ich"" stellvertr. für Allgemeinheit"
BA-2011-Edition_15-03-09_24-24-59_SB02+59767	40.0	BA-2011-Edition_15-03-09_24-24-59_SB02	15-03-09_BA-2011-Edition_24-24-59_SB02.txt	ich	59767	59770	Forscher-Ich*	Verfasser-Ich	Verfasser-Ich*	Erzähler-Ich*
BA-Arbeit_11-12-10_20-12-91_SB25+1482	44.0	BA-Arbeit_11-12-10_20-12-91_SB25	11-12-10_BA-Arbeit_20-12-91_SB25.txt	ich	1482	1485	SB-Ich	SB-Ich	SB-Ich	SB-Ich
BA-Arbeit_11-12-10_20-12-91_SB25+5823	45.0	BA-Arbeit_11-12-10_20-12-91_SB25	11-12-10_BA-Arbeit_20-12-91_SB25.txt	ich	5823	5826	SB-Ich	SB-Ich	SB-Ich	SB-Ich
BA-Arbeit_11-12-10_20-12-91_SB25+6083	46.0	BA-Arbeit_11-12-10_20-12-91_SB25	11-12-10_BA-Arbeit_20-12-91_SB25.txt	ich	6083	6086	SB-Ich	SB-Ich	SB-Ich	SB-Ich
BA-Arbeit_11-12-10_20-12-91_SB25+6168	47.0	BA-Arbeit_11-12-10_20-12-91_SB25	11-12-10_BA-Arbeit_20-12-91_SB25.txt	ich	6168	6171	SB-Ich	SB-Ich	SB-Ich	SB-Ich
BA-Arbeit_11-12-10_20-12-91_SB25+6365	48.0	BA-Arbeit_11-12-10_20-12-91_SB25	11-12-10_BA-Arbeit_20-12-91_SB25.txt	Ich	6365	6368	SB-Ich	SB-Ich	SB-Ich	SB-Ich
BA-Arbeit_12-10-29_26-24-82_SB13_SB12+74893	50.0	BA-Arbeit_12-10-29_26-24-82_SB13_SB12	12-10-29_BA-Arbeit_26-24-82_SB13_SB12.txt	Ich	74893	74896	"""Ich"" in Beispielen,Zitaten etc"	"SB thematisiert ""Ich"""	"""Ich"" in Beispielen,Zitaten etc"	"""Ich"" in Beispielen,Zitaten etc"
BA-Arbeit_13-06-03_28-17-44_SB01+10397	49.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	None	10397	10400	None	"""Ich"" in Beispielen,Zitaten etc"	Verfasser-Ich*	Erzähler-Ich
BA-Arbeit_13-06-03_28-17-44_SB01+12331	51.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	Ich	12331	12334	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich*
BA-Arbeit_13-06-03_28-17-44_SB01+12402	52.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	None	12402	12405	None	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich*
BA-Arbeit_13-06-03_28-17-44_SB01+12478	53.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	ich	12478	12481	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
BA-Arbeit_13-06-03_28-17-44_SB01+20852	54.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	ich	20852	20855	SB-Ich	SB-Ich	SB-Ich	SB-Ich
BA-Arbeit_13-06-03_28-17-44_SB01+20959	55.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	Ich	20959	20962	"SB thematisiert ""Ich"""	SB-Ich	"SB thematisiert ""Ich"""	"SB thematisiert ""Ich"""
BA-Arbeit_13-06-03_28-17-44_SB01+20966	56.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	Ich	20966	20969	SB-Ich	SB-Ich	"SB thematisiert ""Ich"""	None
BA-Arbeit_13-06-03_28-17-44_SB01+20991	57.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	Ich	20991	20994	"SB thematisiert ""Ich"""	"SB thematisiert ""Ich"""	"SB thematisiert ""Ich"""	None
BA-Arbeit_13-06-03_28-17-44_SB01+21177	58.0	BA-Arbeit_13-06-03_28-17-44_SB01	13-06-03_BA-Arbeit_28-17-44_SB01.txt	Ich	21177	21180	SB-Ich	SB-Ich	SB-Ich	SB-Ich
BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44+2144	88.0	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	13-07-29_BA-Experteninterview-Theorie-Methode_28-17-44.txt	ich	2144	2147	Forscher-Ich*	Forscher-Ich*	Forscher-Ich*	"""Ich"" stellvertr. für Allgemeinheit"
BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44+2285	89.0	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	13-07-29_BA-Experteninterview-Theorie-Methode_28-17-44.txt	ich	2285	2288	Forscher-Ich*	Forscher-Ich*	Forscher-Ich	"""Ich"" stellvertr. für Allgemeinheit"
BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44+6207	90.0	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	13-07-29_BA-Experteninterview-Theorie-Methode_28-17-44.txt	Ich	6207	6210	Forscher-Ich*	Forscher-Ich	Forscher-Ich*	Forscher-Ich*
BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44+6525	91.0	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	13-07-29_BA-Experteninterview-Theorie-Methode_28-17-44.txt	ich	6525	6528	Forscher-Ich*	Forscher-Ich*	Forscher-Ich*	Erzähler-Ich*
BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44+6616	92.0	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	13-07-29_BA-Experteninterview-Theorie-Methode_28-17-44.txt	Ich	6616	6619	Forscher-Ich*	Forscher-Ich*	Forscher-Ich	Erzähler-Ich
BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44+6937	93.0	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	13-07-29_BA-Experteninterview-Theorie-Methode_28-17-44.txt	ich	6937	6940	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich
BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44+7103	94.0	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	13-07-29_BA-Experteninterview-Theorie-Methode_28-17-44.txt	ich	7103	7106	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich*
BA-Film_15-06-10_23-01-48_SB20+17215	95.0	BA-Film_15-06-10_23-01-48_SB20	15-06-10_BA-Film_23-01-48_SB20.txt	Ich	17215	17218	Eid	Eid	Eid	Eid
BA-Film_15-06-10_23-01-48_SB20+17283	96.0	BA-Film_15-06-10_23-01-48_SB20	15-06-10_BA-Film_23-01-48_SB20.txt	ich	17283	17286	Eid	Eid	Eid	Eid
BA-Film_15-06-10_23-01-48_SB20+17768	97.0	BA-Film_15-06-10_23-01-48_SB20	15-06-10_BA-Film_23-01-48_SB20.txt	Ich	17768	17771	Eid	Eid	Eid	Eid
BA-Flucht-und-Migration_16-10-03_07-22-61_SB02+192	98.0	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	16-10-03_BA-Flucht-und-Migration_07-22-61_SB02.txt	ich	192	195	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	Schreiber-Ich	"""Ich"" stellvertr. für Allgemeinheit"
BA-Flucht-und-Migration_16-10-03_07-22-61_SB02+2265	99.0	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	16-10-03_BA-Flucht-und-Migration_07-22-61_SB02.txt	ich	2265	2268	Verfasser-Ich*	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
BA-Flucht-und-Migration_16-10-03_07-22-61_SB02+2433	100.0	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	16-10-03_BA-Flucht-und-Migration_07-22-61_SB02.txt	ich	2433	2436	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
BA-Flucht-und-Migration_16-10-03_07-22-61_SB02+2652	101.0	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	16-10-03_BA-Flucht-und-Migration_07-22-61_SB02.txt	ich	2652	2655	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich
BA-ITIL-2011-Edition_15-03-23_24-24-59_SB02+10423	105.0	BA-ITIL-2011-Edition_15-03-23_24-24-59_SB02	15-03-23_BA-ITIL-2011-Edition_24-24-59_SB02.txt	ich	10423	10426	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"	Verfasser-Ich	"""Ich"" in Beispielen,Zitaten etc"
BA-ITIL-2011-Edition_15-03-23_24-24-59_SB02+11768	106.0	BA-ITIL-2011-Edition_15-03-23_24-24-59_SB02	15-03-23_BA-ITIL-2011-Edition_24-24-59_SB02.txt	ich	11768	11771	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" in Beispielen,Zitaten etc"	"""Ich"" stellvertr. für Allgemeinheit"	"""Ich"" stellvertr. für Allgemeinheit"
