	ID	Text	Text_korr	Span	StartChar	EndChar	Code-annotator1	Code-annotator2	Code-annotator3	Code-annotator4	status	context_before	match	context_after
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+83779	20.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	83779	83782	SB-Ich	None	None	None	fullmatch	ert, vermutet man eine eigene Analyse, dabei referieren Sie jetzt verschiedene Ansätze. Das muss sprachlich klar werden. Also doch Analyse. Jetzt bin 	ich	 endgültig verwirrt. Das muss bitte eindeutig getrennt werden… Ohne die Definition ist dies kein Ergebnis, sondern eine Null-Aussage. Das müsste wohl 
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+85157	21.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	85157	85160	SB-Ich	None	None	None	fullmatch	wir”? aha! Hier kommt es. Das gehört weiter nach vorn. dieses “wo” kann man so vertehen, dass in Taiwan die meisten chin. Muttersprachler leben… Und: 	Ich	 bin mir nicht sicher, inwieweit die Geschichte Taiwans nicht zur Allgemeinbildung gehört. Die Amtssprache zu erwähnen, ist aber in jedem Fall sinnvol
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+85676	22.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	85676	85679	SB-Ich	None	None	None	fullmatch	infügen Mir ist nach dieser Darstellung immer noch nicht klar, wieso fast 30% Unterschied noch als “fast identisch” interpretiert werden können. Aber 	ich	 kenne den Test auch nicht. (Aber evtl. kennen die Guachter ihn auch nicht so im Detail. Daher erscheint es mir sinnvoll, das Analyseergebnis argument
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+85912	23.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	85912	85915	SB-Ich	None	None	None	fullmatch	tail. Daher erscheint es mir sinnvoll, das Analyseergebnis argumentativ noch besser abzusichern. irgendwie eine Wiederholung zum Absatz davor. Sorry, 	ich	 muss noch einen methodischen Einwand machen: Mir ist nicht klar, wie Sie von den Texten auf diese Liste kommen. Das Verfahren müssen Sie in irgendein
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+86439	24.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	Ich	86439	86442	SB-Ich	None	None	None	fullmatch	ein vorheriger Kommentar, sonst wird alles andere hinfällig Wie ist es dann möglich, quantitativ zu arbeiten? Bitte den Satzbau in der Fußnote prüfen 	Ich	 habe Bauchschmerzen dabei, aufgrund dieser Kriterien von Signifikanzen zu sprechen. Evtl. ist es möglich, hier etwas vorsichtiger zu formulieren  gra
Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14+86672	25.0	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	15-06-10_Abstract-Zusammenhang-Einleitung-Forschungsstand_52-14-99_WB06.txt	ich	86672	86675	SB-Ich	None	None	None	fullmatch	hen. Evtl. ist es möglich, hier etwas vorsichtiger zu formulieren  graue Hinterlegung = Rechtschreibung prüfen streichen Analysen (nicht Ergebnissen) 	ich	 würde hier “weniger als” verwenden der ist Fazit? im Fazit darf man Perfekt verwenden. Sie haben diese Analysen ja durchgeführt was ist dies für eine
Abstract_15-10-22_12-10-45_WB06+104	13.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	Ich	104	107	SB-Ich	Forscher-Ich	SB-Ich	SB-Ich	fullmatch		Ich	 habe mich daher auf die sprachlichen Aspekte konzentriert. Ich kommentiere so, dass ich meinen Leseeindruck wiedergebe und du selbst überlegen musst,
Abstract_15-10-22_12-10-45_WB06+167	14.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	Ich	167	170	SB-Ich	Verfasser-Ich*	SB-Ich	SB-Ich	fullmatch	nhaltlich kann ich das Abstract nicht beurteilen, da ich den Ausgangstext nicht kenne. Ich habe mich daher auf die sprachlichen Aspekte konzentriert. 	Ich	 kommentiere so, dass ich meinen Leseeindruck wiedergebe und du selbst überlegen musst, was du mit den Kommentaren anfängst bzw. ob und wie du sie ums
Abstract_15-10-22_12-10-45_WB06+192	15.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	ich	192	195	SB-Ich	Verfasser-Ich*	SB-Ich	SB-Ich	fullmatch	stract nicht beurteilen, da ich den Ausgangstext nicht kenne. Ich habe mich daher auf die sprachlichen Aspekte konzentriert. Ich kommentiere so, dass 	ich	 meinen Leseeindruck wiedergebe und du selbst überlegen musst, was du mit den Kommentaren anfängst bzw. ob und wie du sie umsetzen möchtest. Ich hoffe
Abstract_15-10-22_12-10-45_WB06+32	11.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	ich	32	35	SB-Ich	Forscher-Ich	SB-Ich	SB-Ich	fullmatch		ich	 das Abstract nicht beurteilen, da ich den Ausgangstext nicht kenne. Ich habe mich daher auf die sprachlichen Aspekte konzentriert. Ich kommentiere so
Abstract_15-10-22_12-10-45_WB06+336	16.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	Ich	336	339	SB-Ich	Erzähler-Ich	SB-Ich	SB-Ich	fullmatch	 dass ich meinen Leseeindruck wiedergebe und du selbst überlegen musst, was du mit den Kommentaren anfängst bzw. ob und wie du sie umsetzen möchtest. 	Ich	 hoffe, du kommst damit zurecht. Viele Grüße  WB06  Die Abgesänge des Kalten Krieges  Als Michail Gorbatschow 1985 die führende Position der UdSSR übe
Abstract_15-10-22_12-10-45_WB06+70	12.0	Abstract_15-10-22_12-10-45_WB06	15-10-22_Abstract_12-10-45_WB06.txt	ich	70	73	SB-Ich	Forscher-Ich	SB-Ich	None	fullmatch		ich	 den Ausgangstext nicht kenne. Ich habe mich daher auf die sprachlichen Aspekte konzentriert. Ich kommentiere so, dass ich meinen Leseeindruck wiederg
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+56959	26.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	56959	56962	SB-Ich	None	None	None	fullmatch	prüfen, ob  es sich wirklich um Schreibstrategien handelt…) wenn neues Wissen präsentiert wird, ist die Voraussetzung, dass es zuvor generiert wurde. 	Ich	 verstehe daher den Nebensatz nicht. Doppelt? Und daher zu streichen? ich sage dazu immer, dass die Kenntnis der Forschungsliteratur die Basis für das
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+57032	27.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	57032	57035	SB-Ich	None	None	None	fullmatch	ssen präsentiert wird, ist die Voraussetzung, dass es zuvor generiert wurde. Ich verstehe daher den Nebensatz nicht. Doppelt? Und daher zu streichen? 	ich	 sage dazu immer, dass die Kenntnis der Forschungsliteratur die Basis für das eigene wissenschaftliche Arbeiten ist. Dann könnte auch Graefen einfach 
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+58789	28.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	58789	58792	SB-Ich	None	None	None	fullmatch	elpunkt So formuliert ist ein Widerspruch, da Sie vorher sagen, dass sie die Literatur für engli. Texte NICHT berücksichtigen. Mit dieser Frage würde 	ich	 anfangen, dann 1) Der Begriff der Schreibstrategie wurde bislang nicht eingeführt und kommt so als Frage sehr plötzlich… Diese Beschreibung deckt sic
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+59925	29.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	59925	59928	SB-Ich	None	None	None	fullmatch	n Jahrgang oder irgendetwas?) Sonst kann man jam it den Ergebnissen gar nichts anfangen.  Das ist kein Argument. Meinen Sie das Ergebnis der Analyse? 	Ich	 sehe gerade, dass jetzt noch erst etwas anderes kommt (das kommt davon, dass ich schon beim 1. Lesen kommentiere.) Es erscheint notwendig, dass diese
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60006	30.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	60006	60009	SB-Ich	None	None	None	fullmatch	fangen.  Das ist kein Argument. Meinen Sie das Ergebnis der Analyse? Ich sehe gerade, dass jetzt noch erst etwas anderes kommt (das kommt davon, dass 	ich	 schon beim 1. Lesen kommentiere.) Es erscheint notwendig, dass dieser Absatz weiter hinten kommt, da zunächst auf den Vergleich eingegangen wird. Den
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60176	31.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	60176	60179	SB-Ich	None	None	None	fullmatch	sen kommentiere.) Es erscheint notwendig, dass dieser Absatz weiter hinten kommt, da zunächst auf den Vergleich eingegangen wird. Den Absatz verstehe 	ich	 nicht. Kwan hat 3, H/Y 4 das ist doch schon ein Unterschied. Worauf wollen Sie hinaus? Wie ist die Zuordnung der Teilschritte? Was ist neu? Das erst 
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60862	32.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	60862	60865	SB-Ich	None	None	None	fullmatch	issenschaftlichen Text hinaus. Wenn der 1. Punkt nicht gegeben ist, kann der zweite auch nicht gegeben sein. Wie soll die Argumentationskette laufen? 	Ich	 persönlich mag das “wir” nicht, da Sie ja die einzige Autorin sind. “Ich” wäre hier angemessener. Wenn Sie “ich” vermeiden möchten, dann wählen Sie e
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60935	33.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	60935	60938	"SB thematisiert ""Ich"""	None	None	None	fullmatch	der zweite auch nicht gegeben sein. Wie soll die Argumentationskette laufen? Ich persönlich mag das “wir” nicht, da Sie ja die einzige Autorin sind. “	Ich	” wäre hier angemessener. Wenn Sie “ich” vermeiden möchten, dann wählen Sie eher eine Passiv-Konstruktion ich würde hier: “so bspw. in Liu…” schreiben
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+60974	34.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	60974	60977	"SB thematisiert ""Ich"""	None	None	None	fullmatch	 soll die Argumentationskette laufen? Ich persönlich mag das “wir” nicht, da Sie ja die einzige Autorin sind. “Ich” wäre hier angemessener. Wenn Sie “	ich	” vermeiden möchten, dann wählen Sie eher eine Passiv-Konstruktion ich würde hier: “so bspw. in Liu…” schreiben und “als Beleg” weglassen. Oder Sie üb
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+61044	35.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	61044	61047	SB-Ich	None	None	None	fullmatch	ht, da Sie ja die einzige Autorin sind. “Ich” wäre hier angemessener. Wenn Sie “ich” vermeiden möchten, dann wählen Sie eher eine Passiv-Konstruktion 	ich	 würde hier: “so bspw. in Liu…” schreiben und “als Beleg” weglassen. Oder Sie überlegen sich eine Notation der Belege und beschreiben dieses Verfahren
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+61578	36.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	61578	61581	SB-Ich	None	None	None	fullmatch	n hier noch kurz argumentieren, da es ansonsten als bloße Behauptung stehen bliebe. um für den Leser den Unterschied hier deutlch zu machen, empfehle 	ich	" dringend nicht nur “chinesisch”, sondern ""chinesisch-sprachig"" zu schreiben Ich verstehe jetzt Ihre Textauswahl nicht mehr. Können Sie das bitte noch"
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+61658	37.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	61658	61661	SB-Ich	None	None	None	fullmatch	"be. um für den Leser den Unterschied hier deutlch zu machen, empfehle ich dringend nicht nur “chinesisch”, sondern ""chinesisch-sprachig"" zu schreiben "	Ich	 verstehe jetzt Ihre Textauswahl nicht mehr. Können Sie das bitte noch einmal ordnen? “Umtauschen” ist als Verb hier nicht geeignet. Eher: von der Ana
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+62424	38.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	62424	62427	SB-Ich	None	None	None	fullmatch	t das Gleiche im Satz zuvor? Streichen? bleiben Sie am besten bei der Art der Darstellung, die Sie oben gewählt haben. Sonst ist der Leser irritiert. 	ich	 habe ein Problem mit der Versprachlichung der Werte. Was ist “oft” bzw. “sehr oft”. ich fände es besser die Werte zu versprachlichen “in 2/3 der anal
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+62512	39.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	62512	62515	SB-Ich	None	None	None	fullmatch	g, die Sie oben gewählt haben. Sonst ist der Leser irritiert. ich habe ein Problem mit der Versprachlichung der Werte. Was ist “oft” bzw. “sehr oft”. 	ich	 fände es besser die Werte zu versprachlichen “in 2/3 der analysierten Beispiele”. Diese können dann mit den anderen “knapp ein Viertel” in Beziehung 
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63009	40.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63009	63012	SB-Ich	None	None	None	fullmatch	s käme meinem Verständnis von “objektiver Wiss.” näher oder vielleicht doch einmal die Abkürzungen bzw. das Verfahren erläutern. Diesen Satz verstehe 	ich	 nicht. Was meinen Sie? meinen Sie evtl. “an”? “Kritik über…” kenne ich so nicht. m.E. kann man bei einer Vorkommenshäufigkeit von 0 von “überhaupt ni
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63080	41.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63080	63083	SB-Ich	None	None	None	fullmatch	doch einmal die Abkürzungen bzw. das Verfahren erläutern. Diesen Satz verstehe ich nicht. Was meinen Sie? meinen Sie evtl. “an”? “Kritik über…” kenne 	ich	 so nicht. m.E. kann man bei einer Vorkommenshäufigkeit von 0 von “überhaupt nicht” sprechen. “kaum” verwiese auf mind. 1 Vorkommen. eigentlich müsste
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63356	42.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63356	63359	SB-Ich	None	None	None	fullmatch	orkommen. eigentlich müsste hier ein Singular stehen, oder?  quantitative? Die quantative Analyse zeigt, dass… Achtung! Da Sie die WErte haben, würde 	ich	 hier tatsächlich quantifizieren: Doppelt, dreimal etc.… worauf bezieht sich “diese” dann schlägt er nicht mehr vor, sondern fordert auf (ist starker 
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63549	43.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	63549	63552	SB-Ich	None	None	None	fullmatch	t, dreimal etc.… worauf bezieht sich “diese” dann schlägt er nicht mehr vor, sondern fordert auf (ist starker und kann mit “muss” verbunden” werden). 	Ich	 merke gerade, dass ich keien ersten Sätze mag, die mit “obwohl” beginnen. Da wird man so ins Thema geworfen. Ich bevorzuge hier eine Umstellung, in d
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63572	44.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63572	63575	SB-Ich	None	None	None	fullmatch	 bezieht sich “diese” dann schlägt er nicht mehr vor, sondern fordert auf (ist starker und kann mit “muss” verbunden” werden). Ich merke gerade, dass 	ich	 keien ersten Sätze mag, die mit “obwohl” beginnen. Da wird man so ins Thema geworfen. Ich bevorzuge hier eine Umstellung, in der erst einmal der Fakt
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63662	45.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	63662	63665	SB-Ich	None	None	None	fullmatch	 kann mit “muss” verbunden” werden). Ich merke gerade, dass ich keien ersten Sätze mag, die mit “obwohl” beginnen. Da wird man so ins Thema geworfen. 	Ich	 bevorzuge hier eine Umstellung, in der erst einmal der Fakt genannt (Assertion) und dann die Einschränkung formuliert wird. mir ist nicht ganz klar, 
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63844	46.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63844	63847	SB-Ich	None	None	None	fullmatch	ng, in der erst einmal der Fakt genannt (Assertion) und dann die Einschränkung formuliert wird. mir ist nicht ganz klar, was Sie hier meinen Das kann 	ich	 nicht nachvollziehen. Ich muss gestehen, dass ich diese Argumentation insgesamt nicht ganz nachvollziehen kann. Mir kommt es eher als ein sehr belehr
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63870	47.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	Ich	63870	63873	SB-Ich	None	None	None	fullmatch	 Fakt genannt (Assertion) und dann die Einschränkung formuliert wird. mir ist nicht ganz klar, was Sie hier meinen Das kann ich nicht nachvollziehen. 	Ich	 muss gestehen, dass ich diese Argumentation insgesamt nicht ganz nachvollziehen kann. Mir kommt es eher als ein sehr belehrender Sprachstil vor, der 
Artikel-Forschungsstand_15-04-30_52-14-99_WB06+63894	48.0	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	15-04-30_Artikel-Forschungsstand_52-14-99_WB06.txt	ich	63894	63897	SB-Ich	None	None	None	fullmatch	) und dann die Einschränkung formuliert wird. mir ist nicht ganz klar, was Sie hier meinen Das kann ich nicht nachvollziehen. Ich muss gestehen, dass 	ich	 diese Argumentation insgesamt nicht ganz nachvollziehen kann. Mir kommt es eher als ein sehr belehrender Sprachstil vor, der sich nciht auf die Theor
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1149	19.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1149	1152	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	rough_match_10	st und Zweifeln freue ich mich auf das Praktikum. Ich finde es ganz gut praktische Erfahrung so früh wie möglich zu sammeln.    Fragen  Momentan habe 	ich	 keine Frage,  weil ich nicht weiß, was ich  erwarten soll.          1. Selbst-Reflexion zum Lehrerbild        Mentorin: unterstützen / fördern / bera
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1178	20.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	Ich	1178	1181	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	rough_match_10	ch auf das Praktikum. Ich finde es ganz gut praktische Erfahrung so früh wie möglich zu sammeln.    Fragen  Momentan habe ich keine Frage,  weil ich n	ich	t weiß, was ich  erwarten soll.          1. Selbst-Reflexion zum Lehrerbild        Mentorin: unterstützen / fördern / beraten  Lehrerin: Kompetenzen u
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1296	21.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1296	1299	Erzähler-Ich	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich*	Erzähler-Ich	no_match	None	None	None
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1319	22.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1319	1322	Erzähler-Ich	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich*	Erzähler-Ich	no_match	None	None	None
Aufgaben-Portofolio_15-01-29_21-02-74_SB01+1339	23.0	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	15-01-29_Aufgaben-Portofolio_21-02-74_SB01.txt	ich	1339	1342	Erzähler-Ich	"""Ich"" in Beispielen,Zitaten etc"	Erzähler-Ich*	None	no_match	None	None	None
